shape_lane,interval_index,substep,z_mid,allocated_H_sum_cMpc3,single_Jeans_cloud_count_sum_auditor_cMpc3,volume_filling_macro_max,mass_cap_slack_min_cMpc3,geometry_mass_inversion_used,policy
RECOMBINATION_WEIGHTED_AUDITOR,0,1,5.95,5.287538531899683e+65,1.1065892110200384,0.0386470579458441,2.6206987403545897e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,0,2,5.95,5.346006235809437e+65,1.119114500133805,0.039075051852509084,2.618396430034581e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,1,1,5.85,6.76641943200005e+65,1.2297451799445291,0.05195976344778179,2.5669488313807055e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,1,2,5.85,6.714036018719884e+65,1.2164457099441124,0.05158575202169561,2.5694095320159564e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,2,1,5.75,1.195703057371628e+66,1.8398293734095692,0.09065408877683444,2.282884460240115e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,2,2,5.75,1.1375815617910117e+66,1.7673708524672707,0.08662538908070941,2.3140931003366546e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,3,1,5.65,5.4077176455771e+65,0.9430534783688417,0.03780193886008054,2.6332168696609744e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,3,2,5.65,6.188524406046253e+65,1.0801687510327689,0.0432357112846066,2.609593733142203e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,4,1,5.55,6.859678396727041e+65,1.2339225429610128,0.05010104584885268,2.594155193310904e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
RECOMBINATION_WEIGHTED_AUDITOR,4,2,5.55,7.123058011280247e+65,1.262303484618315,0.05187393866466869,2.577657729578498e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,5.95,5.287538531899683e+65,1.1065892110200386,0.03864703270951935,2.6206985446686403e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,5.95,5.346006235809437e+65,1.1191145001338048,0.039075026348246375,2.6183962322749363e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,5.85,6.76641943200005e+65,1.2297451799445291,0.0519597156378211,2.5669483667438464e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,5.85,6.714036018719884e+65,1.2164457099441124,0.051585703804269634,2.5694090632298357e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,5.75,1.195703057371628e+66,1.8398293734095692,0.0906540440460655,2.282883506420652e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,5.75,1.1375815617910117e+66,1.7673708524672698,0.0866253446423471,2.314092153725084e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65,5.4077176455771e+65,0.9430534783688419,0.03780190975656792,2.633217538237333e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65,6.188524406046253e+65,1.0801687510327689,0.04323567829714841,2.6095933438617713e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,5.55,6.859678396727041e+65,1.233922542961013,0.05010099540231215,2.5941549319205176e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
SCRIPT_SELF_SHIELDING_AUDITOR,4,2,5.55,7.123058011280247e+65,1.2623034846183154,0.05187388737347264,2.5776574633448123e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
