directory,path,results_present,stage_state_present,stage,verdict,next_stage,B2C2B_authorization,state_status,state_next_stage
Bianchi_Reionization_Stage_P0_5_B2C1A_HI_TRANSMISSION_QM_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C1A_HI_TRANSMISSION_QM_LOCK,True,False,P0.5-B2C1A-HI-TRANSMISSION-QM-LOCK,PASS,,,,
Bianchi_Reionization_Stage_P0_5_B2C1B_MULTIGROUP_HHE_TRANSMISSION_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C1B_MULTIGROUP_HHE_TRANSMISSION_LOCK,True,False,P0.5-B2C1B-MULTIGROUP-HHE-TRANSMISSION-LOCK,DURABLE_PASS_WITH_PRIMARY_HEIII_UNSUPPORTED,,,,
Bianchi_Reionization_Stage_P0_5_B2C1C_PRESTAGE_HEIII_DECAY_ANALYSIS,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C1C_PRESTAGE_HEIII_DECAY_ANALYSIS,False,False,,,,,,
Bianchi_Reionization_Stage_P0_5_B2C1C_PRIMARY_HEIII_DECAY_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C1C_PRIMARY_HEIII_DECAY_LOCK,True,False,P0.5-B2C1C-PRIMARY-HEIII-DECAY-LOCK,DURABLE_PASS,P0.5-B2C2-UNRESOLVED-SINK-FRONT-ALLOCATION,,,
Bianchi_Reionization_Stage_P0_5_B2C2A_IONIZED_ABSORPTION_DECOMPOSITION_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2A_IONIZED_ABSORPTION_DECOMPOSITION_LOCK,True,False,P0.5-B2C2A-IONIZED-ABSORPTION-DECOMPOSITION-LOCK,FAIL_CLOSED_NEGATIVE_UNATTRIBUTED_EFFECTIVE_RESIDUAL,,,,
Bianchi_Reionization_Stage_P0_5_B2C2A_R1_GAMMA_CONDITIONED_DIRECT_OPACITY_RECONCILIATION,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2A_R1_GAMMA_CONDITIONED_DIRECT_OPACITY_RECONCILIATION,True,False,P0.5-B2C2A-R1-GAMMA-CONDITIONED-DIRECT-OPACITY-RECONCILIATION,PASS_B2C2B_AUTHORIZED,,AUTHORIZED,,
Bianchi_Reionization_Stage_P0_5_B2C2B0A_HIERARCHICAL_TWO_SCALE_OPACITY_CHEMISTRY_CLOSURE_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0A_HIERARCHICAL_TWO_SCALE_OPACITY_CHEMISTRY_CLOSURE_LOCK,True,False,P0.5-B2C2B0A-HIERARCHICAL-TWO-SCALE-OPACITY-CHEMISTRY-CLOSURE-LOCK,DURABLE_PASS_B2C2B0B_AUTHORIZED_WITH_CAVEATS,P0.5-B2C2B0B-MATCHED-PHASESPACE-HISTORY-LOCK,,,
Bianchi_Reionization_Stage_P0_5_B2C2B0B_MATCHED_PHASESPACE_HISTORY_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0B_MATCHED_PHASESPACE_HISTORY_LOCK,True,False,P0.5-B2C2B0B-MATCHED-PHASESPACE-HISTORY-LOCK,FAIL_CLOSED_ABSORPTION_CHEMISTRY_CAPACITY_MISMATCH,P0.5-B2C2B0C-JOINT-CHEMISTRY-SINK-RESERVOIR-HISTORY-LOCK,"{'authorized': False, 'reason': 'matched history capacity gate failed'}",,
Bianchi_Reionization_Stage_P0_5_B2C2B0C_JOINT_CHEMISTRY_SINK_RESERVOIR_HISTORY_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_JOINT_CHEMISTRY_SINK_RESERVOIR_HISTORY_LOCK,True,False,P0.5-B2C2B0C-JOINT-CHEMISTRY-SINK-RESERVOIR-HISTORY-LOCK,DURABLE_PARTIAL_PASS_REDUCED_DAE_NODE_RESOLVED_GATE_FAIL,P0.5-B2C2B0C-R1-NODE-RESOLVED-JOINT-CHEMISTRY-SINK-HISTORY-LOCK,False,,
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK,True,True,P0.5-B2C2B0C-R1-NODE-RESOLVED-JOINT-CHEMISTRY-SINK-HISTORY-LOCK,DURABLE_FAIL_CLOSED_QUASISTATIC_MACRO_CLOUD_OPACITY_MASS_DIVERGENCE,P0.5-B2C2B0C-R2A-GLOBAL-MOMENT-CONSTRAINED-MACRO-SINK-DISTRIBUTION-LOCK,False,DURABLE_FAIL_CLOSED_QUASISTATIC_MACRO_CLOUD_OPACITY_MASS_DIVERGENCE,P0.5-B2C2B0C-R2A-GLOBAL-MOMENT-CONSTRAINED-MACRO-SINK-DISTRIBUTION-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2A_GLOBAL_MOMENT_CONSTRAINED_MACRO_SINK_DISTRIBUTION_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2A_GLOBAL_MOMENT_CONSTRAINED_MACRO_SINK_DISTRIBUTION_LOCK,True,True,P0.5-B2C2B0C-R2A-GLOBAL-MOMENT-CONSTRAINED-MACRO-SINK-DISTRIBUTION-LOCK,DURABLE_PASS_R2A_CORE_MACRO_DISTRIBUTION_LOCK_TAU10_FEASIBILITY_WITNESS_R2B_AUTHORIZED,P0.5-B2C2B0C-R2B-MOMENT-CONSTRAINED-NODE-LIFT-HISTORY,False,DURABLE_PASS_R2A_CORE_MACRO_DISTRIBUTION_LOCK_TAU10_FEASIBILITY_WITNESS_R2B_AUTHORIZED,P0.5-B2C2B0C-R2B-MOMENT-CONSTRAINED-NODE-LIFT-HISTORY
Bianchi_Reionization_Stage_P0_5_CLOUDY_C25_AUDIT,/mnt/data/Bianchi_Reionization_Stage_P0_5_CLOUDY_C25_AUDIT,True,False,P0.5-CLOUDY-C25-AUDIT,PASS_CLOUDY_EXECUTION_BLOCKER_RESOLVED,,,,
Bianchi_Reionization_Stage_P0_PROVENANCE_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_PROVENANCE_LOCK,False,False,,,,,,
P0.5-B2C2B0C-R2B-UPLOAD-RECOVERY-V2,2026-08-05,DURABLE_RECONSTRUCTED_UPLOAD_RECOVERY_V2,PASS_SCIENTIFIC_EQUIVALENCE,part-0003 upload status failure; regenerated from R2A canonical inputs; no remote push claim,,,,,
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_MOMENT_CONSTRAINED_NODE_CHEMISTRY_RELAXATION_AUDIT,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_MOMENT_CONSTRAINED_NODE_CHEMISTRY_RELAXATION_AUDIT,True,True,P0.5-B2C2B0C-R2C-MOMENT-CONSTRAINED-NODE-CHEMISTRY-RELAXATION-AUDIT,DURABLE_FAIL_CLOSED_R2C_CONSTANT_EQUILIBRIUM_RELAXATION_NOT_ALL_LANES_REACHABLE,P0.5-B2C2B0C-R2C-R1-RATE-DERIVED-POSITIVE-MULTIRATE-RELAXATION-CONE-LOCK,False,DURABLE_FAIL_CLOSED,P0.5-B2C2B0C-R2C-R1-RATE-DERIVED-POSITIVE-MULTIRATE-RELAXATION-CONE-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1_RATE_DERIVED_POSITIVE_MULTIRATE_RELAXATION_CONE_LOCK,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1_RATE_DERIVED_POSITIVE_MULTIRATE_RELAXATION_CONE_LOCK,True,True,P0.5-B2C2B0C-R2C-R1-RATE-DERIVED-POSITIVE-MULTIRATE-RELAXATION-CONE-LOCK,DURABLE_FAIL_CLOSED_R2C_R1_MACRO_SHARED_COMMON_EQUILIBRIUM_MULTIRATE_CONE_NOT_ALL_LANES_REACHABLE,P0.5-B2C2B0C-R2C-R1A-NODE-LOCAL-PHYSICS-DERIVED-RATE-FIELD-CONE-PREFLIGHT,False,DURABLE_FAIL_CLOSED,P0.5-B2C2B0C-R2C-R1A-NODE-LOCAL-PHYSICS-DERIVED-RATE-FIELD-CONE-PREFLIGHT
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1A_NODE_LOCAL_PHYSICS_DERIVED_RATE_FIELD_CONE_PREFLIGHT,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1A_NODE_LOCAL_PHYSICS_DERIVED_RATE_FIELD_CONE_PREFLIGHT,True,True,P0.5-B2C2B0C-R2C-R1A-NODE-LOCAL-PHYSICS-DERIVED-RATE-FIELD-CONE-PREFLIGHT,DURABLE_PASS_R2C_R1A_STATE_FLUX_BUDGET_RECLASSIFICATION_RESOLVES_FARKAS_BLOCKER_R1B_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-PHOTON-CONSERVING-CUMULATIVE-BUDGET-NONAUTONOMOUS-RT-FORCING-LOCK,False,DURABLE_PASS_NARROW_BLOCKER_RESOLUTION,P0.5-B2C2B0C-R2C-R1B-PHOTON-CONSERVING-CUMULATIVE-BUDGET-NONAUTONOMOUS-RT-FORCING-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_PHOTON_CONSERVING_CUMULATIVE_BUDGET_NONAUTONOMOUS_RT_FORCING_LOCK,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_PHOTON_CONSERVING_CUMULATIVE_BUDGET_NONAUTONOMOUS_RT_FORCING_LOCK,True,True,P0.5-B2C2B0C-R2C-R1B-PHOTON-CONSERVING-CUMULATIVE-BUDGET-NONAUTONOMOUS-RT-FORCING-LOCK,DURABLE_FAIL_CLOSED_R2C_R1B_ENDPOINT_AND_GLOBAL_LEDGER_DO_NOT_IDENTIFY_NODE_GROUP_FORCING_DYNAMIC_OPACITY_OR_THERMAL_HISTORY,P0.5-B2C2B0C-R2C-R1B-R1-CANONICAL-TIME-RESOLVED-GROUP-BOUNDARY-FLUX-DYNAMIC-OPACITY-AND-HEATING-MOMENT-EXTRACTION-LOCK,False,DURABLE_FAIL_CLOSED_IDENTIFIABILITY,P0.5-B2C2B0C-R2C-R1B-R1-CANONICAL-TIME-RESOLVED-GROUP-BOUNDARY-FLUX-DYNAMIC-OPACITY-AND-HEATING-MOMENT-EXTRACTION-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_UPLOAD_RECOVERY,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_UPLOAD_RECOVERY,False,True,P0.5-B2C2B0C-R2C-R1B-R1-UPLOAD-RECOVERY,PARTIALLY_RECOVERED_DOCUMENTS_ONLY_ORIGINAL_GIT_OBJECTS_AND_SCIENCE_OUTPUTS_MISSING,P0.5-B2C2B0C-R2C-R1B-R1-CANONICAL-TIME-RESOLVED-GROUP-BOUNDARY-FLUX-DYNAMIC-OPACITY-AND-HEATING-MOMENT-EXTRACTION-LOCK,False,PARTIALLY_RECOVERED,P0.5-B2C2B0C-R2C-R1B-R1-CANONICAL-TIME-RESOLVED-GROUP-BOUNDARY-FLUX-DYNAMIC-OPACITY-AND-HEATING-MOMENT-EXTRACTION-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_CANONICAL_TIME_RESOLVED_GROUP_BOUNDARY_FLUX_DYNAMIC_OPACITY_AND_HEATING_MOMENT_EXTRACTION_LOCK_RERUN_V2,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_CANONICAL_TIME_RESOLVED_GROUP_BOUNDARY_FLUX_DYNAMIC_OPACITY_AND_HEATING_MOMENT_EXTRACTION_LOCK_RERUN_V2,True,True,P0.5-B2C2B0C-R2C-R1B-R1-CANONICAL-TIME-RESOLVED-GROUP-BOUNDARY-FLUX-DYNAMIC-OPACITY-AND-HEATING-MOMENT-EXTRACTION-LOCK,DURABLE_PASS_R2C_R1B_R1_CANONICAL_BDF_DENSE_FORCING_STATE_DERIVED_CONDITIONAL_OPACITY_AND_BDF_CALIBRATED_HEATING_LOCK_R1B_R2_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-R2-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY,False,DURABLE_PASS_INPUT_OPERATOR_LOCK,P0.5-B2C2B0C-R2C-R1B-R2-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2A_PHOTON_SINK_MATERIAL_REACTION_OWNER_SPLIT_PREFLIGHT,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2A_PHOTON_SINK_MATERIAL_REACTION_OWNER_SPLIT_PREFLIGHT,True,True,P0.5-B2C2B0C-R2C-R1B-R2A-PHOTON-SINK-MATERIAL-REACTION-OWNER-SPLIT-PREFLIGHT,DURABLE_PASS_R2C_R1B_R2A_OWNER_SPLIT_REMOVES_FALSE_CAPACITY_BLOCKER_OWNER_CORRECT_R1B_R2B_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-R2B-OWNER-CORRECT-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY,False,DURABLE_PASS_OWNER_SPLIT_PREFLIGHT,P0.5-B2C2B0C-R2C-R1B-R2B-OWNER-CORRECT-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R1_CANONICAL_INITIAL_MATERIAL_STATE_AND_STATE_DERIVED_OWNER_LAW_LOCK,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R1_CANONICAL_INITIAL_MATERIAL_STATE_AND_STATE_DERIVED_OWNER_LAW_LOCK,True,True,P0.5-B2C2B0C-R2C-R1B-R2B-R1-CANONICAL-INITIAL-MATERIAL-STATE-AND-STATE-DERIVED-OWNER-LAW-LOCK,DURABLE_PASS_R2C_R1B_R2B_R1_CANONICAL_MATERIAL_STATE_AND_STATE_DERIVED_OWNER_LAW_LOCK_R2B_R2_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-R2B-R2-OWNER-CORRECT-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY-RERUN,False,DURABLE_PASS_INPUT_OPERATOR_LOCK,P0.5-B2C2B0C-R2C-R1B-R2B-R2-OWNER-CORRECT-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY-RERUN
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2_OWNER_CORRECT_PHOTON_CONSERVING_NONAUTONOMOUS_FIXED_POINT_HISTORY_RERUN,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2_OWNER_CORRECT_PHOTON_CONSERVING_NONAUTONOMOUS_FIXED_POINT_HISTORY_RERUN,True,True,P0.5-B2C2B0C-R2C-R1B-R2B-R2-OWNER-CORRECT-PHOTON-CONSERVING-NONAUTONOMOUS-FIXED-POINT-HISTORY-RERUN,DURABLE_FAIL_CLOSED_R2C_R1B_R2B_R2_NOMINAL_DT_TO_DT8_FIRST_SLAB_FIXED_POINT_NONCONVERGENCE_INTERNAL_DT256_EXISTENCE_WITNESS_ADAPTIVE_MICROSTEP_LOCK_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-ADAPTIVE-INTERNAL-MICROSTEP-ACCEPTANCE-AND-GLOBALIZATION-LOCK,False,DURABLE_FAIL_CLOSED_NUMERICAL_POLICY,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-ADAPTIVE-INTERNAL-MICROSTEP-ACCEPTANCE-AND-GLOBALIZATION-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK,True,True,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-ADAPTIVE-INTERNAL-MICROSTEP-ACCEPTANCE-AND-GLOBALIZATION-LOCK,DURABLE_FAIL_CLOSED_R2C_R1B_R2B_R2A_DT1024_LOCAL_ERROR_FAILURE_FIXED_POINT_AND_CONSERVATION_GATES_PASS_DEEPER_DT4096_AUDITOR_PASS,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R1-POSITIVITY-CONSERVATIVE-SECOND-ORDER-THERMOCHEMISTRY-PREFLIGHT,False,DURABLE_FAIL_CLOSED_NUMERICAL_ACCURACY,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R1-POSITIVITY-CONSERVATIVE-SECOND-ORDER-THERMOCHEMISTRY-PREFLIGHT
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT,True,True,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R1-POSITIVITY-CONSERVATIVE-SECOND-ORDER-THERMOCHEMISTRY-PREFLIGHT,DURABLE_PASS_R2C_R1B_R2B_R2A_R1_MPRK22_ALPHA1_LSTABLE_SDIRK2_CLOSE_ALL_LANES_AT_PARTITION_2048_FAST_ROOT_BACKEND_PROMOTED_EVENT_RESOLVED_PDS_LOCK_REQUIRED,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R2-EVENT-RESOLVED-FULL-OTS-PDS-OWNERSHIP-LOCK,False,DURABLE_PASS_NUMERICAL_METHOD_PREFLIGHT,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R2-EVENT-RESOLVED-FULL-OTS-PDS-OWNERSHIP-LOCK
Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R2_EVENT_RESOLVED_FULL_OTS_PDS_OWNERSHIP_LOCK,stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R2_EVENT_RESOLVED_FULL_OTS_PDS_OWNERSHIP_LOCK,True,True,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R2-EVENT-RESOLVED-FULL-OTS-PDS-OWNERSHIP-LOCK,DURABLE_PASS_R2C_R1B_R2B_R2A_R2_EVENT_TOPOLOGY_AND_PHOTON_OWNERSHIP_LOCK_TOTAL_ENERGY_CLOSED_WITH_UNRESOLVED_OTS_LEDGER_SOURCE_IDENTICAL_BRANCH_KERNEL_AND_RESOLVED_OTS_HEATING_FAIL_CLOSED_R2_R1_AUTHORIZED,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R2-R1-SOURCE-BRANCH-KERNEL-AND-OTS-ENERGY-MOMENT-LOCK,False,DURABLE_PASS_THEORY_LOCK_WITH_BOUNDED_SOURCE_IDENTIFIABILITY_NO_GO,P0.5-B2C2B0C-R2C-R1B-R2B-R2A-R2-R1-SOURCE-BRANCH-KERNEL-AND-OTS-ENERGY-MOMENT-LOCK
